name,display_name,bio,followers_count,following_count,acct_created,location,id,id_str
b'RepRossSpano',b'@RepRossSpano',b'Proudly Representing #FL15 in the U.S. House of Representatives | RTs/follow \xe2\x89\xa0 endorsement.',2009,421,2019-01-29 19:18:02,"b'Dover, FL'",1090328229548826627,b'1090328229548826627'
b'RepJimBaird',b'Congressman Jim Baird',b'Lifelong Hoosier proudly representing the 4th Congressional District.',2539,394,2019-01-18 17:36:49,"b'Indiana, USA'",1086316494450032640,b'1086316494450032640'
b'RepHagedorn',b'Congressman Jim Hagedorn',"b'This is the official Twitter account for Congressman Jim Hagedorn, proudly representing the 1st District of Minnesota.\nTweets sent by staff, unless signed ""-JH\xe2\x80\x9d'",2601,87,2019-01-10 21:24:53,"b'Washington, DC'",1083474782602125318,b'1083474782602125318'
b'RepCasten',b'Rep. Sean Casten',"b'Official twitter account for Rep. Sean Casten, representing #IL06.'",11513,706,2019-01-10 21:14:57,b'',1083472286089396224,b'1083472286089396224'
b'CongressmanJVD',b'Congressman Jeff Van Drew',"b""Congressman for New Jersey's 2nd District. Republican or Democrat - We are all American. Tweets by staff unless signified.""",3608,587,2019-01-10 21:02:14,b'South Jersey',1083469084648505344,b'1083469084648505344'
b'RepGregSteube',b'Congressman Greg Steube',"b""Official Twitter Account for Congressman Greg Steube of Florida's 17th District.""",5677,309,2019-01-09 22:17:33,"b'Sarasota, FL'",1083125649609506816,b'1083125649609506816'
b'RepKendraHorn',b'Congresswoman Kendra Horn',"b""Representing Oklahoma's 5th District. Chairwoman of the House Subcommittee on Space and Aeronautics. @womenleadok founder. @girlscouts supporter. #OK5""",8776,134,2019-01-09 15:15:21,"b'Oklahoma City, OK'",1083019402046513152,b'1083019402046513152'
b'RepChipRoy',b'Rep. Chip Roy',b'Proudly representing the people of the 21st Congressional District of Texas.',23859,27,2019-01-09 00:06:11,"b'Washington, DC'",1082790600292925440,b'1082790600292925440'
b'RepChuyGarcia',b'Congressman Chuy Garc\xc3\xada',"b'Progressive Chicagoan, Retired Marathoner. Congressman of #IL04. @TransportDems and @FSCDems. FB/IG: @RepChuyGarcia'",6734,847,2019-01-08 00:04:27,b'',1082427779583541248,b'1082427779583541248'
b'RepMichaelWaltz',b'Rep. Michael Waltz',"b'Congressman for #FL6 (Volusia, Flagler, Lake, St Johns Counties), Green Beret, National Guard Lt. Col., former CEO, Author of ""Warrior Diplomat,"" Father.'",6953,459,2019-01-07 23:20:25,b'',1082416697380913152,b'1082416697380913152'
b'RepLucyMcBath',b'Rep. Lucy McBath',b'Mother. Fighter. Congresswoman. #GA06',21843,369,2019-01-07 20:56:25,b'',1082380458976051202,b'1082380458976051202'
b'RepGregPence',b'Rep. Greg Pence',b'The official Twitter account of U.S. Representative Greg Pence.',4955,266,2019-01-07 20:12:27,b'',1082369392229400576,b'1082369392229400576'
b'Ilhan',b'Rep. Ilhan Omar',"b""Representing Minnesota's 5th District in the People's House. @USProgressives Whip and Midwest Regional Whip.""",495988,331,2019-01-07 17:53:13,"b'Minneapolis, MN and Washington, DC'",1082334352711790593,b'1082334352711790593'
b'RepJohnJoyce',b'John Joyce',b'Congressman serving the people of Pennsylvania\xe2\x80\x99s 13th District. Fighting every day for the freedom and prosperity of our nation. #PA13',3490,116,2019-01-07 16:24:21,b'',1082311988926124036,b'1082311988926124036'
b'RepJahanaHayes',b'Jahana Hayes',"b'Mom, Educator, Congresswoman for CT-05 #hayesinthehouse'",27674,97,2019-01-07 01:26:40,"b'Waterbury, CT'",1082086081238102018,b'1082086081238102018'
b'RepEdCase',b'Rep. Ed Case',"b""Proudly representing Hawaii's First Congressional District.""",3029,123,2019-01-05 00:44:02,b'',1081350574589833221,b'1081350574589833221'
b'RepCarolMiller',b'Carol Miller',"b""Wife, mother, grandmother, small business owner, and bison farmer. Proudly serving West Virginia's 3rd Congressional District.""",4479,127,2019-01-04 22:37:26,"b'Huntington, WV'",1081318716573470720,b'1081318716573470720'
b'RepJohnRose',b'John Rose',b'U.S. Representative serving Tennessee\xe2\x80\x99s Sixth Congressional District. Proud husband to Chelsea and father to Guy. House Financial Services Committee Member.',2745,209,2019-01-04 22:11:59,"b'Cookeville, TN'",1081312310059253763,b'1081312310059253763'
b'RepFinkenauer',b'Abby Finkenauer',"b""I represent the people of Iowa's First Congressional District in the U.S. House of Representatives.""",7902,33,2019-01-04 18:29:24,b'',1081256295469068288,b'1081256295469068288'
b'RepMichaelGuest',b'Congressman Michael Guest',"b""Representative for Mississippi's Third Congressional District in the U.S. House of Representatives. Christian. Father. Husband.""",3799,701,2019-01-04 17:38:26,b'',1081243468327018496,b'1081243468327018496'
b'RepKirkpatrick',b'Rep. Ann Kirkpatrick',"b'Congresswoman representing Arizona\'s 2nd Congressional District, but my grandchildren call me ""Mumsy!""'",5501,489,2019-01-04 17:24:57,"b'Tucson, AZ'",1081240074946252801,b'1081240074946252801'
b'RepKatiePorter',b'Rep. Katie Porter',b'Representative for #CA45. Irvine mom & Consumer Protection Attorney.',221941,93,2019-01-04 16:16:27,"b'Irvine, CA and Washington, DC'",1081222837459996672,b'1081222837459996672'
b'RepGilCisneros',b'Rep. Gil Cisneros',"b""Navy Veteran and Representative for California's 39th District. Member of @VetAffairsDems, @HASCDemocrats, @HispanicCaucus, @CAPAC. Ready to serve.""",7538,442,2019-01-04 00:36:00,"b'Yorba Linda, CA'",1080986167003230208,b'1080986167003230208'
b'RepBrindisi',b'Rep. Anthony Brindisi',b'Dad. Husband. Problem solver & independent voice for the working families of Upstate New York. Representative of NY\xe2\x80\x99s 22nd Dist. @VetAffairsDems @HouseAgDems',6698,169,2019-01-04 00:04:52,"b'New York, USA'",1080978331535896576,b'1080978331535896576'
b'SenHawleyPress',b'Senator Hawley Press Office',b'Tweets from the office of U.S. Senator Josh Hawley',7252,762,2019-01-03 22:55:42,b'Missouri',1080960924687704064,b'1080960924687704064'
b'RepDMP',b'Rep. Debbie Mucarsel-Powell',"b'Mom. Immigrant. 1st Ecuadorian-American in Congress. Fighting for lower health care costs, commonsense gun reform & combat climate change. Proudly serve #FL26'",17984,369,2019-01-03 21:36:46,"b'Miami, FL'",1080941062028447744,b'1080941062028447744'
b'RepMalinowski',b'Rep. Tom Malinowski',"b""The official Twitter account of the office of Congressman Tom Malinowski, of New Jersey's 7th district.""",4226,417,2019-01-03 18:45:46,b'',1080898026418384897,b'1080898026418384897'
b'RepDanCrenshaw',b'Rep. Dan Crenshaw',"b""Proudly representing Texas's Second Congressional District""",437814,103,2019-01-03 18:33:28,"b'Houston, TX'",1080894931311431682,b'1080894931311431682'
b'RepGolden',b'Congressman Jared Golden',b'Proud resident of Lewiston. Raised in Leeds and trained in the Marines. U.S. Congressman putting Mainers first.',6627,737,2019-01-03 18:20:30,b'',1080891667308298240,b'1080891667308298240'
b'RepGregStanton',b'Greg Stanton',"b""Proudly serving Arizona's 9th Congressional District""",4470,1138,2019-01-03 17:54:19,b'',1080885078425784320,b'1080885078425784320'
b'RepTjCox',b'Congressman TJ Cox',"b'Engineer, dad, small businessman. Serving with @HouseAgDems to grow opportunity in #CA21. Chair, Subcommittee on Oversight and Investigations, @NRDems.'",6430,599,2019-01-03 17:17:54,b'',1080875913926139910,b'1080875913926139910'
b'SenatorBraun',b'Senator Mike Braun',"b'Main Street businessman & Hoosier U.S. Senator from Jasper, IN.'",8927,111,2019-01-03 16:58:18,"b'Jasper, IN'",1080870981877534720,b'1080870981877534720'
